wallet_txn_id,transaction_id,customer_id,merchant_id,wallet_provider,txn_type,amount,wallet_balance_after,timestamp,status
WLT0000017,TXN0000082,CUST01732,MER0045,PhonePe Wallet,SPEND,221.33,4310.33,2025-06-08 00:17:42,Success
WLT0000018,TXN0000087,CUST00375,MER0037,Amazon Pay Balance,SPEND,1936.47,4808.18,2025-04-10 04:36:59,success
WLT0000019,TXN0000088,CUST00796,MER0036,Amazon Pay Balance,SPEND,246.04,13654.04,2025-04-22 14:47:25,SUCCESS
WLT0000020,TXN0000092,CUST00342,MER0036,Amazon Pay Balance,SPEND,1129.15,2300.59,2025-02-06 07:56:33,SUCCESS
WLT0000021,TXN0000093,CUST00645,MER0014,Mobikwik,SPEND,829.28,18436.39,2025-06-18 01:37:33,Success
WLT0000022,TXN0000094,CUST00736,MER0125,Amazon Pay Balance,LOAD,473.66,19644.56,2025-01-27 12:17:52,SUCCESS
WLT0000023,TXN0000095,CUST00400,MER0144,Amazon Pay Balance,SPEND,182.47,17113.93,2025-04-09 03:30:42,Success
WLT0000024,TXN0000102,CUST01102,,Paytm Wallet,P2P_TRANSFER,121.71,13837.11,2025-06-01 14:30:46,Success
WLT0000025,TXN0000108,CUST01685,MER0113,Paytm Wallet,SPEND,469.84,251.23,2025-04-17 02:11:26,Success
WLT0000026,TXN0000115,CUST01663,,Paytm Wallet,P2P_TRANSFER,351.36,1750.78,2025-06-07 10:08:54,Pending
WLT0000027,TXN0000138,CUST01947,MER0149,Paytm Wallet,LOAD,539.2,1898.07,2025-01-01 11:31:31,Success
WLT0000028,TXN0000147,CUST01160,MER0088,Paytm Wallet,LOAD,893.81,9109.19,2025-06-23 15:03:45,success
WLT0000029,TXN0000157,CUST01851,MER0014,Paytm Wallet,SPEND,543.72,11565.08,2025-03-18 23:05:08,Success
WLT0000030,TXN0000158,CUST01282,MER0060,Amazon Pay Balance,SPEND,393.08,10447.38,2025-03-25 08:21:40,Success
WLT0000031,TXN0000160,CUST00195,,Amazon Pay Balance,P2P_TRANSFER,1334.22,7855.74,2025-04-03 14:04:49,Success
WLT0000032,TXN0000162,CUST00464,MER0114,PhonePe Wallet,LOAD,879.11,13490.45,2025-01-02 19:16:49,Success
WLT0000033,TXN0000163,CUST00017,MER0031,PhonePe Wallet,LOAD,210.12,8767.86,2025-06-17 01:28:34,SUCCESS
WLT0000034,TXN0000170,CUST01387,,PhonePe Wallet,P2P_TRANSFER,723.97,18528.59,2025-04-14 00:20:51,SUCCESS
WLT0000035,TXN0000171,CUST01154,,Mobikwik,P2P_TRANSFER,5191.15,3013.14,2025-05-07 05:18:49,SUCCESS
WLT0000036,TXN0000175,CUST00844,MER0114,Mobikwik,LOAD,534.9,2263.38,2025-06-16 23:42:57,success
WLT0000037,TXN0000177,CUST00206,,Mobikwik,P2P_TRANSFER,1403.61,847.24,2025-01-24 21:57:15,Success
WLT0000038,TXN0000186,CUST01532,MER0014,Paytm Wallet,LOAD,322.67,6602.81,2025-06-02 04:46:48,success
WLT0000039,TXN0000188,CUST00791,,Paytm Wallet,P2P_TRANSFER,472.67,2214.77,2025-04-08 00:13:24,success
WLT0000040,TXN0000194,CUST00354,MER0019,PhonePe Wallet,LOAD,308.44,3381.72,2025-01-04 05:46:41,SUCCESS
WLT0000041,TXN0000197,CUST01890,,PhonePe Wallet,P2P_TRANSFER,232.0,1448.66,2025-06-03 06:21:28,success
WLT0000042,TXN0000200,CUST00851,MER0103,PhonePe Wallet,SPEND,-761.6,16815.72,2025-01-17 00:08:29,SUCCESS
WLT0000043,TXN0000201,CUST01312,MER0040,PhonePe Wallet,LOAD,87.8,5728.16,2025-02-23 21:05:36,success
WLT0000044,TXN0000205,CUST00801,MER0017,Paytm Wallet,LOAD,876.87,7712.68,2025-03-02 05:29:40,SUCCESS
WLT0000045,TXN0000208,CUST00501,,PhonePe Wallet,P2P_TRANSFER,584.39,3140.41,2025-03-26 08:50:25,SUCCESS
WLT0000046,TXN0000212,CUST00026,MER0003,Paytm Wallet,LOAD,536.57,19027.99,2025-02-01 19:30:55,Success
WLT0000047,TXN0000213,CUST01017,MER0134,Paytm Wallet,LOAD,1116.2,18831.95,2025-04-11 10:25:59,Pending
WLT0000048,TXN0000215,CUST00762,,Mobikwik,P2P_TRANSFER,790.93,3930.37,2025-06-01 16:18:05,success
WLT0000049,TXN0000218,CUST01843,,Paytm Wallet,P2P_TRANSFER,627.81,3497.06,2025-06-06 17:23:42,success
WLT0000050,TXN0000219,CUST00880,,Mobikwik,P2P_TRANSFER,74.6,19183.99,2025-01-13 09:39:54,Success
WLT0000051,TXN0000221,CUST00158,MER0131,Mobikwik,LOAD,3479.56,3263.83,2025-03-11 22:17:56,Success
WLT0000052,TXN0000222,CUST00114,MER0146,Amazon Pay Balance,SPEND,141.96,13060.06,2025-02-02 09:43:25,Success
WLT0000053,TXN0000230,CUST01908,MER0010,PhonePe Wallet,LOAD,513.72,17164.07,2025-04-18 08:32:11,Success
WLT0000054,TXN0000231,CUST01645,MER0108,Paytm Wallet,LOAD,151.19,354.07,2025-02-13 14:19:01,SUCCESS
WLT0000055,TXN0000233,CUST01876,MER0070,Paytm Wallet,LOAD,2365.0,4863.08,2025-06-10 09:25:30,SUCCESS
WLT0000056,TXN0000236,CUST01848,,PhonePe Wallet,P2P_TRANSFER,423.51,2666.75,2025-02-13 08:07:03,failed
WLT0000057,TXN0000239,CUST01797,MER0073,Amazon Pay Balance,SPEND,566.33,787.85,2025-05-31 04:53:57,success
WLT0000058,TXN0000256,CUST01992,MER0072,Paytm Wallet,LOAD,7381.17,12325.02,2025-01-19 01:32:08,Success
WLT0000059,TXN0000258,CUST01732,MER0096,Amazon Pay Balance,SPEND,888.35,984.86,2025-03-31 00:34:09,success
WLT0000060,TXN0000259,CUST01996,MER0149,Mobikwik,SPEND,531.05,7035.02,2025-01-19 13:25:16,SUCCESS
WLT0000061,TXN0000261,CUST01680,MER0146,Paytm Wallet,SPEND,111.94,17713.4,2025-01-13 02:15:33,Pending
WLT0000062,TXN0000266,CUST00928,,Paytm Wallet,P2P_TRANSFER,2242.12,15573.58,2025-01-15 12:04:07,SUCCESS
WLT0000063,TXN0000267,CUST01933,,Amazon Pay Balance,P2P_TRANSFER,434.77,11977.66,2025-06-01 10:46:11,Success
WLT0000064,TXN0000268,CUST01578,MER0040,Amazon Pay Balance,SPEND,3909.53,15029.93,2025-01-21 12:24:02,SUCCESS
WLT0000065,TXN0000277,CUST01712,MER0038,Mobikwik,LOAD,53.1,16169.84,2025-01-18 17:04:58,success
WLT0000066,TXN0000278,CUST01457,,Amazon Pay Balance,P2P_TRANSFER,2159.63,4128.66,2025-03-11 01:52:53,success
WLT0000067,TXN0000279,CUST00812,MER0077,PhonePe Wallet,SPEND,370.27,6242.62,2025-02-20 12:27:54,success
WLT0000068,TXN0000280,CUST01680,MER0008,Mobikwik,SPEND,161.37,16475.72,2025-03-20 12:36:15,success
WLT0000069,TXN0000285,CUST00025,,Mobikwik,P2P_TRANSFER,155.24,16911.75,2025-06-01 15:32:14,SUCCESS
WLT0000070,TXN0000290,CUST01665,,Amazon Pay Balance,P2P_TRANSFER,1642.47,18084.65,2025-01-13 12:27:41,success
WLT0000071,TXN0000297,CUST00061,MER0110,Paytm Wallet,LOAD,251.65,7351.76,2025-02-03 13:20:23,Success
WLT0000072,TXN0000299,CUST00384,,Paytm Wallet,P2P_TRANSFER,353.48,9388.19,2025-03-28 14:33:50,Success
WLT0000073,TXN0000304,CUST00125,,Mobikwik,P2P_TRANSFER,2973.65,10640.85,2025-03-16 08:58:50,Success
WLT0000074,TXN0000305,CUST00282,MER0135,Paytm Wallet,LOAD,309.89,15654.92,2025-02-18 09:06:45,Failed
WLT0000075,TXN0000309,CUST01116,MER0089,PhonePe Wallet,LOAD,1210.81,7355.4,2025-06-27 05:22:59,success
WLT0000076,TXN0000316,CUST00733,MER0060,Mobikwik,SPEND,553.28,12455.16,2025-01-31 23:54:19,SUCCESS
WLT0000077,TXN0000322,CUST01916,MER0045,Amazon Pay Balance,SPEND,1446.16,1309.17,2025-02-04 04:41:13,failed
WLT0000078,TXN0000323,CUST00485,MER0092,Paytm Wallet,SPEND,587.23,979.23,2025-06-27 11:27:19,Success
WLT0000079,TXN0000326,CUST01155,,PhonePe Wallet,P2P_TRANSFER,752.54,15063.74,2025-02-06 13:13:56,Success
WLT0000080,TXN0000327,CUST01714,MER0127,PhonePe Wallet,SPEND,837.5,1086.84,2025-04-16 06:29:01,SUCCESS
WLT0000081,TXN0000328,CUST00633,,PhonePe Wallet,P2P_TRANSFER,330.85,19748.85,2025-01-08 08:55:25,SUCCESS
WLT0000082,TXN0000332,CUST00680,MER0052,Paytm Wallet,LOAD,1005.06,4242.39,2025-06-06 14:18:28,PENDING
WLT0000083,TXN0000338,CUST00748,MER0096,Amazon Pay Balance,LOAD,664.61,10389.68,2025-05-17 19:23:06,SUCCESS
WLT0000084,TXN0000346,CUST01822,MER0092,PhonePe Wallet,SPEND,1378.12,7469.14,2025-02-13 08:21:38,Success
WLT0000085,TXN0000347,CUST01364,MER0045,Amazon Pay Balance,SPEND,574.32,11956.79,2025-03-15 11:23:51,SUCCESS
WLT0000086,TXN0000350,CUST01943,MER0146,Paytm Wallet,LOAD,1181.06,1854.69,2025-01-07 06:54:52,SUCCESS
WLT0000087,TXN0000353,CUST01159,,Amazon Pay Balance,P2P_TRANSFER,1166.37,15467.44,2025-04-07 08:23:23,SUCCESS
WLT0000088,TXN0000356,CUST00655,,Paytm Wallet,P2P_TRANSFER,885.2,5165.33,2025-06-21 21:53:29,Success
WLT0000089,TXN0000358,CUST01452,MER0086,PhonePe Wallet,SPEND,380.03,4679.74,2025-03-28 17:26:46,SUCCESS
WLT0000090,TXN0000360,CUST00512,MER0090,Amazon Pay Balance,SPEND,986.32,18726.94,2025-02-19 20:06:45,success
WLT0000091,TXN0000362,CUST00003,,Paytm Wallet,P2P_TRANSFER,4161.56,6021.1,2025-03-27 02:15:13,SUCCESS
WLT0000092,TXN0000374,CUST00701,,Mobikwik,P2P_TRANSFER,405.33,1179.08,2025-03-14 21:45:38,Success
WLT0000093,TXN0000382,CUST01428,MER0139,Mobikwik,LOAD,520.26,4349.9,2025-02-21 12:13:24,success
WLT0000094,TXN0000383,CUST01353,,Paytm Wallet,P2P_TRANSFER,129.51,16969.14,2025-02-16 03:03:18,SUCCESS
WLT0000095,TXN0000385,CUST01171,MER0126,Mobikwik,LOAD,1173.3,17509.44,2025-01-30 19:46:51,SUCCESS
WLT0000096,TXN0000389,CUST00199,,Mobikwik,P2P_TRANSFER,2287.77,16796.88,2025-02-03 04:08:08,Failed
WLT0000097,TXN0000394,CUST01315,MER0048,Mobikwik,SPEND,1412.74,15742.09,2025-03-14 01:04:51,success
WLT0000098,TXN0000399,CUST00551,MER0039,PhonePe Wallet,LOAD,432.65,549.17,2025-05-27 01:40:11,Success
WLT0000099,TXN0000400,CUST01427,MER0022,Paytm Wallet,SPEND,1199.09,16284.22,2025-05-10 17:45:48,Success
WLT0000100,TXN0000414,CUST00088,MER0112,PhonePe Wallet,LOAD,1340.86,8282.34,2025-02-09 05:00:43,Pending
WLT0000101,TXN0000415,CUST01685,MER0067,Amazon Pay Balance,SPEND,663.03,19551.46,2025-03-04 02:08:26,Success
WLT0000102,TXN0000419,CUST00566,MER0004,PhonePe Wallet,SPEND,625.52,7684.71,2025-06-02 17:35:29,Success
WLT0000103,TXN0000420,CUST01435,MER0134,Amazon Pay Balance,LOAD,1398.09,12397.66,2025-06-01 18:55:09,success
WLT0000104,TXN0000421,CUST00860,,PhonePe Wallet,P2P_TRANSFER,2051.93,18979.53,2025-01-30 01:23:01,pending
WLT0000105,TXN0000422,CUST00304,MER0150,PhonePe Wallet,SPEND,140.83,13579.62,2025-05-28 06:17:41,success
WLT0000106,TXN0000432,CUST00811,MER0085,Mobikwik,SPEND,694.35,11027.24,2025-05-15 02:01:38,Success
WLT0000107,TXN0000433,CUST00487,,Amazon Pay Balance,P2P_TRANSFER,1562.8,6437.65,2025-04-03 06:40:38,Failed
WLT0000108,TXN0000436,CUST01675,MER0080,PhonePe Wallet,LOAD,314.88,12968.24,2025-02-24 10:30:36,Failed
WLT0000109,TXN0000439,CUST00467,,PhonePe Wallet,P2P_TRANSFER,826.74,9063.95,2025-05-25 10:00:12,success
WLT0000110,TXN0000448,CUST00638,MER0104,Amazon Pay Balance,LOAD,182.0,7532.93,2025-01-27 08:10:26,Pending
WLT0000111,TXN0000451,CUST00395,MER0052,Amazon Pay Balance,LOAD,272.7,9672.88,2025-06-12 12:35:38,success
WLT0000112,TXN0000452,CUST00119,,PhonePe Wallet,P2P_TRANSFER,489.2,9717.86,2025-03-30 15:12:17,Success
WLT0000113,TXN0000462,CUST01702,MER0073,PhonePe Wallet,SPEND,732.02,5772.65,2025-01-06 07:55:42,success
WLT0000114,TXN0000463,CUST00792,,Mobikwik,P2P_TRANSFER,432.5,5396.65,2025-06-15 19:05:44,PENDING
WLT0000115,TXN0000464,CUST01172,MER0055,Paytm Wallet,SPEND,384.97,18584.34,2025-06-16 10:25:39,success
WLT0000116,TXN0000478,CUST00210,,Amazon Pay Balance,P2P_TRANSFER,459.38,13703.46,2025-05-09 14:48:00,success
WLT0000117,TXN0000481,CUST01402,,PhonePe Wallet,P2P_TRANSFER,2824.47,9220.26,2025-01-13 09:30:08,success
WLT0000118,TXN0000482,CUST00689,MER0084,Paytm Wallet,LOAD,128.04,12622.23,2025-06-17 06:50:30,SUCCESS
WLT0000119,TXN0000484,CUST01457,MER0077,PhonePe Wallet,SPEND,589.57,17058.65,2025-02-06 13:49:17,Success
WLT0000120,TXN0000485,CUST00308,MER0062,PhonePe Wallet,LOAD,916.07,680.91,2025-06-24 16:50:43,Success
WLT0000121,TXN0000492,CUST00389,MER0057,PhonePe Wallet,SPEND,7968.37,3193.76,2025-05-14 06:28:27,Success
WLT0000122,TXN0000497,CUST00602,,Mobikwik,P2P_TRANSFER,1337.91,696.82,2025-01-25 20:15:46,SUCCESS
WLT0000123,TXN0000501,CUST01843,MER0023,Amazon Pay Balance,LOAD,132.8,13620.99,2025-02-13 03:46:35,success
WLT0000124,TXN0000505,CUST00534,MER0119,PhonePe Wallet,SPEND,1480.93,1716.81,2025-06-15 06:56:39,SUCCESS
WLT0000125,TXN0000510,CUST00246,MER0098,PhonePe Wallet,LOAD,384.67,8558.48,2025-04-13 21:13:35,SUCCESS
WLT0000126,TXN0000511,CUST00612,MER0039,PhonePe Wallet,LOAD,124.69,17114.85,2025-01-27 16:10:06,SUCCESS
WLT0000127,TXN0000521,CUST01609,MER0023,Mobikwik,SPEND,952.44,8630.45,2025-01-26 03:04:31,Success
WLT0000128,TXN0000534,CUST00134,MER0077,Paytm Wallet,SPEND,631.58,9566.97,2025-02-26 11:21:20,success
WLT0000129,TXN0000535,CUST00934,MER0135,Mobikwik,SPEND,479.67,19984.99,2025-03-07 14:25:33,Success
WLT0000130,TXN0000542,CUST00045,MER0044,Amazon Pay Balance,LOAD,85.81,10849.51,2025-01-24 21:58:35,success
WLT0000131,TXN0000544,CUST01796,MER0137,Paytm Wallet,SPEND,492.78,8108.47,2025-05-02 00:01:06,success
WLT0000132,TXN0000545,CUST00100,MER0013,PhonePe Wallet,SPEND,1274.41,18011.11,2025-05-09 13:00:12,SUCCESS
WLT0000133,TXN0000548,CUST00910,MER0141,PhonePe Wallet,SPEND,313.14,19564.67,2025-02-19 01:50:44,success
WLT0000134,TXN0000550,CUST01424,MER0003,Paytm Wallet,LOAD,634.76,4803.53,2025-02-28 11:18:15,success
WLT0000135,TXN0000553,CUST01241,MER0108,Amazon Pay Balance,LOAD,3546.56,11816.13,2025-06-11 07:07:20,SUCCESS
WLT0000136,TXN0000554,CUST01841,,PhonePe Wallet,P2P_TRANSFER,418.52,11560.33,2025-05-20 13:41:36,Success
WLT0000137,TXN0000559,CUST00734,MER0076,Paytm Wallet,SPEND,269.31,10956.28,2025-02-01 03:23:42,failed
WLT0000138,TXN0000560,CUST00081,MER0054,PhonePe Wallet,SPEND,183.02,13719.31,2025-05-14 15:15:45,success
WLT0000139,TXN0000561,CUST01912,MER0061,Mobikwik,SPEND,1578.87,5615.8,2025-01-01 12:45:36,Success
WLT0000140,TXN0000566,CUST01482,MER0066,Amazon Pay Balance,LOAD,103.9,13041.47,2025-05-06 02:49:37,SUCCESS
WLT0000141,TXN0000572,CUST01513,,Amazon Pay Balance,P2P_TRANSFER,1891.61,4462.52,2025-06-15 07:05:36,success
WLT0000142,TXN0000574,CUST01745,,Mobikwik,P2P_TRANSFER,659.82,17392.61,2025-05-06 16:09:51,SUCCESS
WLT0000143,TXN0000585,CUST00327,,Paytm Wallet,P2P_TRANSFER,94.53,293.55,2025-06-26 22:37:28,Success
WLT0000144,TXN0000592,CUST01818,MER0012,Mobikwik,SPEND,503.7,14352.71,2025-01-13 07:10:02,SUCCESS
WLT0000145,TXN0000597,CUST01789,MER0134,PhonePe Wallet,LOAD,1158.86,6898.36,2025-05-14 15:26:18,SUCCESS
WLT0000146,TXN0000610,CUST01674,,Paytm Wallet,P2P_TRANSFER,291.52,16386.38,2025-03-31 03:32:09,failed
WLT0000147,TXN0000612,CUST00181,MER0115,Amazon Pay Balance,LOAD,2367.73,1889.98,2025-03-03 08:57:12,Success
WLT0000148,TXN0000613,CUST00244,MER0005,Mobikwik,LOAD,687.2,7932.55,2025-01-20 22:21:09,success
WLT0000149,TXN0000620,CUST00745,MER0058,Mobikwik,LOAD,1379.89,1560.41,2025-06-13 22:48:16,success
WLT0000150,TXN0000625,CUST01556,MER0001,Mobikwik,LOAD,261.18,2795.9,2025-03-08 06:50:22,Success
WLT0000151,TXN0000628,CUST00218,,Paytm Wallet,P2P_TRANSFER,731.08,10335.58,2025-02-01 21:01:10,FAILED
WLT0000152,TXN0000631,CUST00521,MER0049,Paytm Wallet,LOAD,149.15,14338.3,2025-01-24 10:42:58,SUCCESS
WLT0000153,TXN0000647,CUST01806,MER0064,Mobikwik,LOAD,171.55,7309.81,2025-02-23 03:02:57,success
WLT0000154,TXN0000648,CUST00815,MER0076,Paytm Wallet,SPEND,325.52,2920.93,2025-03-29 22:24:50,success
WLT0000155,TXN0000649,CUST01649,,Amazon Pay Balance,P2P_TRANSFER,222.24,13251.8,2025-03-22 03:31:59,SUCCESS
WLT0000156,TXN0000653,CUST00446,,Amazon Pay Balance,P2P_TRANSFER,253.07,6658.93,2025-05-02 04:49:54,SUCCESS
WLT0000157,TXN0000654,CUST01464,,Amazon Pay Balance,P2P_TRANSFER,2589.63,10942.65,2025-03-09 01:11:04,Success
WLT0000158,TXN0000659,CUST00984,MER0107,PhonePe Wallet,LOAD,1783.0,16739.1,2025-05-11 22:12:08,success
WLT0000159,TXN0000660,CUST01532,MER0137,PhonePe Wallet,LOAD,868.68,4273.09,2025-02-25 12:31:15,Success
WLT0000160,TXN0000663,CUST00052,MER0014,Mobikwik,LOAD,1079.2,11264.79,2025-05-11 03:36:39,SUCCESS
WLT0000161,TXN0000684,CUST01485,MER0076,Amazon Pay Balance,SPEND,321.47,9906.37,2025-03-29 03:37:44,Success
WLT0000162,TXN0000686,CUST01972,,Amazon Pay Balance,P2P_TRANSFER,785.36,15447.34,2025-04-10 18:41:59,failed
WLT0000163,TXN0000687,CUST00245,MER0110,Paytm Wallet,SPEND,229.26,9168.86,2025-02-24 04:45:26,success
WLT0000164,TXN0000689,CUST00330,MER0066,PhonePe Wallet,SPEND,1622.49,13160.44,2025-01-02 02:18:29,SUCCESS
WLT0000165,TXN0000696,CUST01450,MER0057,Mobikwik,SPEND,1264.92,16846.88,2025-02-05 16:53:31,Success
WLT0000166,TXN0000698,CUST01035,,Amazon Pay Balance,P2P_TRANSFER,1315.3,13734.42,2025-04-16 10:56:13,SUCCESS
WLT0000167,TXN0000710,CUST00580,,Paytm Wallet,P2P_TRANSFER,515.02,8983.3,2025-04-11 08:46:43,Success
WLT0000168,TXN0000711,CUST01684,MER0132,Amazon Pay Balance,LOAD,1132.42,18435.16,2025-06-05 21:23:49,Success
WLT0000169,TXN0000712,CUST01042,MER0012,Mobikwik,LOAD,-851.47,12504.08,2025-02-27 13:28:56,Success
WLT0000170,TXN0000720,CUST01698,MER0112,PhonePe Wallet,SPEND,925.82,16721.47,2025-05-06 13:11:36,success
WLT0000171,TXN0000724,CUST00180,,Paytm Wallet,P2P_TRANSFER,627.82,2320.05,2025-02-04 13:30:12,failed
WLT0000172,TXN0000725,CUST01627,,Amazon Pay Balance,P2P_TRANSFER,535.41,10298.81,2025-01-14 16:17:02,SUCCESS
WLT0000173,TXN0000728,CUST00924,MER0111,Mobikwik,LOAD,1817.0,10261.09,2025-03-03 10:33:02,Success
WLT0000174,TXN0000733,CUST01436,MER0092,PhonePe Wallet,SPEND,2688.81,16628.5,2025-04-08 15:23:24,success
WLT0000175,TXN0000743,CUST01388,MER0096,Paytm Wallet,LOAD,464.23,9020.4,2025-01-03 03:57:49,success
WLT0000176,TXN0000750,CUST00330,,PhonePe Wallet,P2P_TRANSFER,686.55,19363.64,2025-04-30 18:53:31,SUCCESS
WLT0000177,TXN0000753,CUST01638,MER0014,PhonePe Wallet,LOAD,511.07,1276.85,2025-06-15 07:45:15,success
WLT0000178,TXN0000756,CUST00596,MER0065,Paytm Wallet,LOAD,698.99,18479.84,2025-01-20 01:39:22,SUCCESS
WLT0000179,TXN0000757,CUST00405,MER0125,Amazon Pay Balance,SPEND,2364.21,18559.2,2025-03-06 05:52:37,success
WLT0000180,TXN0000760,CUST00584,MER0050,Mobikwik,LOAD,116.41,15825.97,2025-03-03 16:59:23,Success
WLT0000181,TXN0000764,CUST01161,MER0081,Mobikwik,SPEND,727.68,3396.46,2025-03-25 04:03:25,success
WLT0000182,TXN0000766,CUST00505,MER0112,Amazon Pay Balance,SPEND,509.59,16650.26,2025-02-23 17:25:17,SUCCESS
WLT0000183,TXN0000767,CUST01721,MER0085,PhonePe Wallet,SPEND,723.17,10522.11,2025-06-20 11:14:40,SUCCESS
WLT0000184,TXN0000775,CUST00155,MER0130,Paytm Wallet,SPEND,618.75,10726.59,2025-05-03 15:35:34,SUCCESS
WLT0000185,TXN0000778,CUST00076,MER0140,Amazon Pay Balance,SPEND,437.33,13458.31,2025-06-23 14:16:35,failed
WLT0000186,TXN0000779,CUST01106,MER0039,Paytm Wallet,LOAD,2380.19,18004.64,2025-03-13 00:50:18,success
WLT0000187,TXN0000780,CUST00804,,Paytm Wallet,P2P_TRANSFER,184.73,4286.32,2025-05-30 22:27:20,SUCCESS
WLT0000188,TXN0000781,CUST01208,MER0075,Mobikwik,LOAD,232.77,18950.35,2025-01-26 23:55:54,success
WLT0000189,TXN0000787,CUST00327,,Paytm Wallet,P2P_TRANSFER,10.42,4228.14,2025-04-20 20:52:39,Success
WLT0000190,TXN0000792,CUST00542,MER0011,Paytm Wallet,SPEND,4094.39,14750.31,2025-05-10 19:50:05,SUCCESS
WLT0000191,TXN0000794,CUST01621,MER0121,Paytm Wallet,SPEND,297.49,8817.76,2025-06-28 05:43:59,FAILED
WLT0000192,TXN0000798,CUST01700,,PhonePe Wallet,P2P_TRANSFER,596.38,19030.63,2025-05-25 01:32:59,SUCCESS
WLT0000193,TXN0000799,CUST00540,MER0146,Paytm Wallet,LOAD,432.2,2707.04,2025-02-03 18:11:55,success
WLT0000194,TXN0000801,CUST01204,MER0020,PhonePe Wallet,LOAD,701.71,5564.08,2025-04-11 07:49:25,SUCCESS
WLT0000195,TXN0000803,CUST00457,MER0091,Amazon Pay Balance,SPEND,778.52,2226.56,2025-06-08 16:35:57,success
WLT0000196,TXN0000804,CUST01778,MER0124,Amazon Pay Balance,LOAD,566.22,2923.84,2025-06-22 06:31:15,success
WLT0000197,TXN0000806,CUST01807,,Paytm Wallet,P2P_TRANSFER,540.97,15030.86,2025-02-02 03:46:44,success
WLT0000198,TXN0000817,CUST01175,MER0035,PhonePe Wallet,SPEND,554.48,3229.98,2025-05-03 05:52:15,SUCCESS
WLT0000199,TXN0000829,CUST01351,MER0043,Paytm Wallet,LOAD,,19560.89,2025-05-21 14:57:18,success
WLT0000200,TXN0000839,CUST01541,,Paytm Wallet,P2P_TRANSFER,1173.86,16081.05,2025-04-04 15:24:20,Success
WLT0000201,TXN0000840,CUST01351,,PhonePe Wallet,P2P_TRANSFER,809.73,1444.24,2025-04-28 04:23:44,SUCCESS
WLT0000202,TXN0000842,CUST01921,MER0111,Amazon Pay Balance,SPEND,788.99,10371.05,2025-04-12 08:54:08,success
WLT0000203,TXN0000850,CUST01760,,Paytm Wallet,P2P_TRANSFER,1184.84,13186.42,2025-04-27 04:14:39,SUCCESS
WLT0000204,TXN0000852,CUST00528,,Mobikwik,P2P_TRANSFER,393.8,18976.61,2025-05-18 16:52:23,SUCCESS
WLT0000205,TXN0000859,CUST00536,MER0109,Paytm Wallet,LOAD,205.05,15918.67,2025-04-20 15:33:14,SUCCESS
WLT0000206,TXN0000861,CUST00814,MER0106,Paytm Wallet,LOAD,90.33,9668.44,2025-04-18 04:59:43,success
WLT0000207,TXN0000866,CUST01586,MER0036,Mobikwik,LOAD,1577.34,3740.28,2025-06-16 00:35:01,Success
WLT0000208,TXN0000873,CUST00797,MER0002,Paytm Wallet,SPEND,1347.82,8827.79,2025-06-06 04:37:58,SUCCESS
WLT0000209,TXN0000877,CUST00760,,Amazon Pay Balance,P2P_TRANSFER,471.42,19499.7,2025-01-08 07:57:09,Success
