settlement_id,merchant_id,batch_date,total_transactions,total_amount,settled_amount,settlement_status
SET000061,MER0003,2025-03-16,2,3059.9,2996.21,VARIANCE
SET000062,MER0003,2025-03-23,3,2725.53,2676.64,VARIANCE
SET000063,MER0003,2025-03-30,7,12251.09,12040.61,VARIANCE
SET000064,MER0003,2025-04-06,2,4865.13,4766.02,VARIANCE
SET000065,MER0003,2025-04-13,3,1731.92,1682.75,VARIANCE
SET000066,MER0003,2025-04-20,2,840.66,819.38,VARIANCE
SET000067,MER0003,2025-04-27,5,2478.0,2414.3,VARIANCE
SET000068,MER0003,2025-05-04,8,11886.37,11603.91,VARIANCE
SET000069,MER0003,2025-05-11,4,5961.19,5841.53,VARIANCE
SET000070,MER0003,2025-05-18,1,1075.6,1046.65,VARIANCE
SET000071,MER0003,2025-05-25,0,0.0,0.0,MATCHED
SET000072,MER0003,2025-06-01,4,2768.62,2702.15,VARIANCE
SET000073,MER0003,2025-06-08,4,3353.54,3304.29,VARIANCE
SET000074,MER0003,2025-06-15,2,2725.96,2700.87,VARIANCE
SET000075,MER0003,2025-06-22,1,271.12,267.03,VARIANCE
SET000076,MER0003,2025-06-29,4,2465.63,2446.48,VARIANCE
SET000077,MER0004,2025-01-12,2,2415.24,2399.31,VARIANCE
SET000078,MER0004,2025-01-19,2,966.64,950.62,VARIANCE
SET000079,MER0004,2025-01-26,3,1756.28,1714.78,VARIANCE
SET000080,MER0004,2025-02-02,5,4878.1,4737.98,VARIANCE
SET000081,MER0004,2025-02-09,6,3650.19,3616.56,VARIANCE
SET000082,MER0004,2025-02-16,3,1270.8,1246.69,VARIANCE
SET000083,MER0004,2025-02-23,2,740.55,724.8,VARIANCE
SET000084,MER0004,2025-03-02,3,3425.86,3331.68,VARIANCE
SET000085,MER0004,2025-03-09,2,2803.39,2734.43,VARIANCE
SET000086,MER0004,2025-03-16,3,4367.31,4353.11,VARIANCE
SET000087,MER0004,2025-03-23,2,1095.48,1078.13,VARIANCE
SET000088,MER0004,2025-03-30,0,0.0,0.0,MATCHED
SET000089,MER0004,2025-04-06,6,4815.2,4792.72,VARIANCE
SET000090,MER0004,2025-04-13,1,817.28,798.85,VARIANCE
SET000091,MER0004,2025-04-20,0,0.0,0.0,MATCHED
SET000092,MER0004,2025-04-27,3,902.22,899.15,VARIANCE
SET000093,MER0004,2025-05-04,2,205.82,201.11,VARIANCE
SET000094,MER0004,2025-05-11,1,746.32,737.33,VARIANCE
SET000095,MER0004,2025-05-18,1,463.65,462.77,MATCHED
SET000096,MER0004,2025-05-25,2,5763.58,5671.2,VARIANCE
SET000097,MER0004,2025-06-01,1,284.81,279.89,VARIANCE
SET000098,MER0004,2025-06-08,3,1453.11,1451.26,VARIANCE
SET000099,MER0004,2025-06-15,1,815.39,812.04,VARIANCE
SET000100,MER0004,2025-06-22,4,1634.41,1630.83,VARIANCE
SET000101,MER0005,2025-01-05,1,196.85,195.12,VARIANCE
SET000102,MER0005,2025-01-12,2,806.82,788.04,VARIANCE
SET000103,MER0005,2025-01-19,2,2151.63,2090.18,VARIANCE
SET000104,MER0005,2025-01-26,5,4402.74,4273.51,VARIANCE
SET000105,MER0005,2025-02-02,4,1719.7,1715.73,VARIANCE
SET000106,MER0005,2025-02-09,2,1309.1,1291.15,VARIANCE
SET000107,MER0005,2025-02-16,2,1890.7,1884.08,VARIANCE
SET000108,MER0005,2025-02-23,1,84.78,84.67,MATCHED
SET000109,MER0005,2025-03-02,0,0.0,0.0,MATCHED
SET000110,MER0005,2025-03-09,3,2230.11,2228.11,VARIANCE
SET000111,MER0005,2025-03-16,1,191.3,187.13,VARIANCE
SET000112,MER0005,2025-03-23,2,702.71,685.41,VARIANCE
SET000113,MER0005,2025-03-30,0,0.0,0.0,MATCHED
SET000114,MER0005,2025-04-06,4,7872.81,7871.75,VARIANCE
SET000115,MER0005,2025-04-13,1,3044.12,3038.61,VARIANCE
SET000116,MER0005,2025-04-20,4,1632.38,1600.66,VARIANCE
SET000117,MER0005,2025-04-27,3,1401.14,1379.37,VARIANCE
SET000118,MER0005,2025-05-04,3,3566.19,3547.33,VARIANCE
SET000119,MER0005,2025-05-11,4,2191.67,2178.79,VARIANCE
SET000120,MER0005,2025-05-18,4,1918.52,1912.62,VARIANCE
SET000121,MER0005,2025-05-25,3,1937.02,1899.96,VARIANCE
SET000122,MER0005,2025-06-01,5,1496.0,1461.55,VARIANCE
SET000123,MER0005,2025-06-08,0,0.0,0.0,MATCHED
SET000124,MER0005,2025-06-15,3,5391.2,5380.53,VARIANCE
SET000125,MER0005,2025-06-22,2,1303.88,1288.75,VARIANCE
SET000126,MER0005,2025-06-29,4,1592.06,1585.95,VARIANCE
SET000127,MER0006,2025-01-12,4,1365.8,1332.87,VARIANCE
SET000128,MER0006,2025-01-19,1,3911.34,3853.52,VARIANCE
SET000129,MER0006,2025-01-26,3,990.92,988.46,VARIANCE
SET000130,MER0006,2025-02-02,4,5436.9,5366.89,VARIANCE
SET000131,MER0006,2025-02-09,5,3311.19,3290.7,VARIANCE
SET000132,MER0006,2025-02-16,1,972.99,967.37,VARIANCE
SET000133,MER0006,2025-02-23,0,0.0,0.0,MATCHED
SET000134,MER0006,2025-03-02,4,1359.0,1346.33,VARIANCE
SET000135,MER0006,2025-03-09,3,6808.29,6745.35,VARIANCE
SET000136,MER0006,2025-03-16,0,0.0,0.0,MATCHED
SET000137,MER0006,2025-03-23,8,7153.38,7050.41,VARIANCE
SET000138,MER0006,2025-03-30,2,484.62,481.86,VARIANCE
SET000139,MER0006,2025-04-06,1,2395.57,2387.06,VARIANCE
SET000140,MER0006,2025-04-13,3,2667.42,2666.36,VARIANCE
SET000141,MER0006,2025-04-20,2,1893.42,1857.49,VARIANCE
SET000142,MER0006,2025-04-27,4,1505.81,1491.18,VARIANCE
SET000143,MER0006,2025-05-04,2,826.52,815.38,VARIANCE
SET000144,MER0006,2025-05-11,6,2520.38,2509.18,VARIANCE
SET000145,MER0006,2025-05-18,4,3444.57,3366.08,VARIANCE
SET000146,MER0006,2025-05-25,2,769.2,756.9,VARIANCE
SET000147,MER0006,2025-06-01,2,1065.43,1041.66,VARIANCE
SET000148,MER0006,2025-06-08,4,6540.13,6501.52,VARIANCE
SET000149,MER0006,2025-06-15,1,756.55,749.98,VARIANCE
SET000150,MER0006,2025-06-22,3,1372.88,1331.96,VARIANCE
SET000151,MER0006,2025-06-29,1,674.26,656.23,VARIANCE
SET000152,MER0007,2025-01-05,1,1070.63,1043.06,VARIANCE
SET000153,MER0007,2025-01-12,5,5295.23,5230.3,VARIANCE
SET000154,MER0007,2025-01-19,0,0.0,0.0,MATCHED
SET000155,MER0007,2025-01-26,1,116.33,114.04,VARIANCE
SET000156,MER0007,2025-02-02,1,276.4,268.77,VARIANCE
SET000157,MER0007,2025-02-09,2,2869.19,2833.51,VARIANCE
SET000158,MER0007,2025-02-16,3,4274.79,4225.34,VARIANCE
SET000159,MER0007,2025-02-23,1,673.52,662.01,VARIANCE
SET000160,MER0007,2025-03-02,2,2201.13,2152.98,VARIANCE
SET000161,MER0007,2025-03-09,1,1628.91,1596.99,VARIANCE
SET000162,MER0007,2025-03-16,3,2832.54,2767.31,VARIANCE
SET000163,MER0007,2025-03-23,2,3147.02,3129.35,VARIANCE
SET000164,MER0007,2025-03-30,3,9126.84,8957.53,VARIANCE
SET000165,MER0007,2025-04-06,3,1768.45,1753.25,VARIANCE
SET000166,MER0007,2025-04-13,3,912.54,900.2,VARIANCE
SET000167,MER0007,2025-04-20,4,2012.91,1966.36,VARIANCE
SET000168,MER0007,2025-04-27,2,3846.56,3763.43,VARIANCE
SET000169,MER0007,2025-05-04,2,964.72,955.18,VARIANCE
SET000170,MER0007,2025-05-11,4,3799.66,3784.06,VARIANCE
SET000171,MER0007,2025-05-18,7,4520.14,4508.95,VARIANCE
SET000172,MER0007,2025-05-25,2,323.05,314.85,VARIANCE
SET000173,MER0007,2025-06-01,5,4308.24,4212.49,VARIANCE
SET000174,MER0007,2025-06-08,3,3217.97,3131.0,VARIANCE
SET000175,MER0007,2025-06-15,1,156.39,152.59,VARIANCE
SET000176,MER0007,2025-06-22,2,1263.85,1240.59,VARIANCE
SET000177,MER0008,2025-01-12,3,2040.52,2023.27,VARIANCE
SET000178,MER0008,2025-01-19,0,0.0,0.0,MATCHED
SET000179,MER0008,2025-01-26,3,2102.24,2076.43,VARIANCE
SET000180,MER0008,2025-02-02,2,1406.36,1370.31,VARIANCE
SET000181,MER0008,2025-02-09,4,5160.5,5063.96,VARIANCE
SET000182,MER0008,2025-02-16,4,3534.66,3443.85,VARIANCE
SET000183,MER0008,2025-02-23,3,4235.99,4144.44,VARIANCE
SET000184,MER0008,2025-03-02,1,237.88,234.84,VARIANCE
SET000185,MER0008,2025-03-09,4,1291.87,1272.56,VARIANCE
SET000186,MER0008,2025-03-16,3,3221.6,3141.58,VARIANCE
SET000187,MER0008,2025-03-23,2,460.45,450.45,VARIANCE
SET000188,MER0008,2025-03-30,2,1129.97,1126.45,VARIANCE
SET000189,MER0008,2025-04-06,7,6335.23,6265.0,VARIANCE
SET000190,MER0008,2025-04-13,4,7803.88,7710.58,VARIANCE
SET000191,MER0008,2025-04-20,3,7169.24,7023.44,VARIANCE
SET000192,MER0008,2025-04-27,4,2369.58,2319.75,VARIANCE
SET000193,MER0008,2025-05-04,4,6390.54,6344.82,VARIANCE
SET000194,MER0008,2025-05-11,4,4735.68,4595.75,VARIANCE
SET000195,MER0008,2025-05-18,2,941.27,931.5,VARIANCE
SET000196,MER0008,2025-05-25,3,2534.72,2531.39,VARIANCE
SET000197,MER0008,2025-06-01,0,0.0,0.0,MATCHED
SET000198,MER0008,2025-06-08,6,3909.29,3797.65,VARIANCE
SET000199,MER0008,2025-06-15,4,6284.13,6101.98,VARIANCE
SET000200,MER0008,2025-06-22,2,2746.19,2728.48,VARIANCE
SET000201,MER0008,2025-06-29,3,1428.89,1393.96,VARIANCE
SET000202,MER0009,2025-01-05,4,3153.44,3098.76,VARIANCE
SET000203,MER0009,2025-01-12,3,1314.18,1300.44,VARIANCE
SET000204,MER0009,2025-01-19,0,0.0,0.0,MATCHED
SET000205,MER0009,2025-01-26,1,557.44,545.53,VARIANCE
SET000206,MER0009,2025-02-02,2,1677.63,1661.64,VARIANCE
SET000207,MER0009,2025-02-09,2,3246.68,3238.28,VARIANCE
SET000208,MER0009,2025-02-16,4,2958.05,2910.86,VARIANCE
SET000209,MER0009,2025-02-23,1,837.53,822.36,VARIANCE
SET000210,MER0009,2025-03-02,2,1151.35,1140.49,VARIANCE
SET000211,MER0009,2025-03-09,3,3772.28,3757.93,VARIANCE
SET000212,MER0009,2025-03-16,2,2877.19,2850.17,VARIANCE
SET000213,MER0009,2025-03-23,1,189.9,189.49,MATCHED
SET000214,MER0009,2025-03-30,3,1381.74,1372.69,VARIANCE
SET000215,MER0009,2025-04-06,1,283.65,283.28,MATCHED
SET000216,MER0009,2025-04-13,5,2827.44,2763.85,VARIANCE
SET000217,MER0009,2025-04-20,2,2261.03,2238.85,VARIANCE
SET000218,MER0009,2025-04-27,4,2359.61,2303.65,VARIANCE
SET000219,MER0009,2025-05-04,2,1254.38,1221.17,VARIANCE
SET000220,MER0009,2025-05-11,3,2098.22,2056.77,VARIANCE
SET000221,MER0009,2025-05-18,2,1315.97,1313.83,VARIANCE
SET000222,MER0009,2025-05-25,1,252.85,247.5,VARIANCE
SET000223,MER0009,2025-06-01,0,0.0,0.0,MATCHED
SET000224,MER0009,2025-06-08,3,1779.01,1775.1,VARIANCE
SET000225,MER0009,2025-06-15,4,3216.5,3214.75,VARIANCE
SET000226,MER0009,2025-06-22,2,1562.78,1551.41,VARIANCE
SET000227,MER0009,2025-06-29,3,1455.52,1427.25,VARIANCE
SET000228,MER0010,2025-01-05,1,543.1,540.22,VARIANCE
SET000229,MER0010,2025-01-12,1,624.8,607.28,VARIANCE
SET000230,MER0010,2025-01-19,3,873.56,847.62,VARIANCE
SET000231,MER0010,2025-01-26,3,847.22,823.41,VARIANCE
SET000232,MER0010,2025-02-02,4,3342.96,3276.24,VARIANCE
SET000233,MER0010,2025-02-09,1,178.68,174.61,VARIANCE
SET000234,MER0010,2025-02-16,0,0.0,0.0,MATCHED
SET000235,MER0010,2025-02-23,1,3692.02,3630.74,VARIANCE
SET000236,MER0010,2025-03-02,2,740.26,736.96,VARIANCE
SET000237,MER0010,2025-03-09,3,1236.09,1217.1,VARIANCE
SET000238,MER0010,2025-03-16,5,2072.61,2033.58,VARIANCE
SET000239,MER0010,2025-03-23,1,601.6,589.68,VARIANCE
SET000240,MER0010,2025-03-30,3,576.14,559.68,VARIANCE
SET000241,MER0010,2025-04-06,4,4805.19,4726.58,VARIANCE
SET000242,MER0010,2025-04-13,1,305.47,305.02,MATCHED
SET000243,MER0010,2025-04-20,3,1033.77,1032.89,MATCHED
SET000244,MER0010,2025-04-27,6,4136.84,4128.36,VARIANCE
SET000245,MER0010,2025-05-04,1,3368.55,3277.38,VARIANCE
SET000246,MER0010,2025-05-11,4,2225.86,2188.61,VARIANCE
SET000247,MER0010,2025-05-18,2,387.66,385.73,VARIANCE
SET000248,MER0010,2025-05-25,0,0.0,0.0,MATCHED
SET000249,MER0010,2025-06-01,2,239.72,233.0,VARIANCE
SET000250,MER0010,2025-06-08,1,83.78,81.78,VARIANCE
SET000251,MER0010,2025-06-15,2,1963.45,1909.5,VARIANCE
SET000252,MER0010,2025-06-22,1,229.37,227.58,VARIANCE
SET000253,MER0010,2025-06-29,2,2184.37,2165.54,VARIANCE
SET000254,MER0011,2025-01-12,4,2073.31,2072.59,MATCHED
SET000255,MER0011,2025-01-19,2,1718.36,1669.41,VARIANCE
SET000256,MER0011,2025-01-26,4,3090.03,3062.48,VARIANCE
SET000257,MER0011,2025-02-02,1,279.26,277.53,VARIANCE
SET000258,MER0011,2025-02-09,8,3511.31,3424.78,VARIANCE
SET000259,MER0011,2025-02-16,4,2367.67,2302.26,VARIANCE
SET000260,MER0011,2025-02-23,3,1809.4,1808.31,VARIANCE
SET000261,MER0011,2025-03-02,3,1181.14,1173.72,VARIANCE
SET000262,MER0011,2025-03-09,3,1365.32,1327.19,VARIANCE
SET000263,MER0011,2025-03-16,5,7677.9,7490.66,VARIANCE
SET000264,MER0011,2025-03-23,1,764.46,756.63,VARIANCE
SET000265,MER0011,2025-03-30,4,3529.18,3441.4,VARIANCE
SET000266,MER0011,2025-04-06,1,173.92,170.98,VARIANCE
SET000267,MER0011,2025-04-13,6,5119.33,4988.78,VARIANCE
SET000268,MER0011,2025-04-20,4,5164.05,5023.32,VARIANCE
SET000269,MER0011,2025-04-27,4,2951.68,2906.02,VARIANCE
SET000270,MER0011,2025-05-04,5,3079.66,3037.39,VARIANCE
SET000271,MER0011,2025-05-11,2,4448.97,4428.56,VARIANCE
SET000272,MER0011,2025-05-18,1,342.45,332.22,VARIANCE
SET000273,MER0011,2025-05-25,3,5877.2,5763.43,VARIANCE
SET000274,MER0011,2025-06-01,1,371.99,361.63,VARIANCE
SET000275,MER0011,2025-06-08,1,617.93,609.64,VARIANCE
SET000276,MER0011,2025-06-15,3,2148.94,2095.13,VARIANCE
SET000277,MER0011,2025-06-22,6,8599.76,8427.19,VARIANCE
SET000278,MER0011,2025-06-29,1,2737.89,2735.37,VARIANCE
SET000279,MER0012,2025-01-05,2,2340.64,2316.02,VARIANCE
SET000280,MER0012,2025-01-12,6,3477.46,3442.88,VARIANCE
SET000281,MER0012,2025-01-19,2,1008.13,996.2,VARIANCE
SET000282,MER0012,2025-01-26,6,5439.92,5309.62,VARIANCE
SET000283,MER0012,2025-02-02,1,544.26,539.11,VARIANCE
SET000284,MER0012,2025-02-09,1,325.63,325.34,MATCHED
SET000285,MER0012,2025-02-16,6,8193.39,7969.54,VARIANCE
SET000286,MER0012,2025-02-23,2,2603.7,2591.12,VARIANCE
SET000287,MER0012,2025-03-02,4,1607.76,1576.12,VARIANCE
SET000288,MER0012,2025-03-09,2,935.09,912.68,VARIANCE
SET000289,MER0012,2025-03-16,3,1838.25,1819.23,VARIANCE
SET000290,MER0012,2025-03-23,5,3785.31,3768.39,VARIANCE
SET000291,MER0012,2025-03-30,3,1883.78,1836.71,VARIANCE
SET000292,MER0012,2025-04-06,1,658.37,642.51,VARIANCE
SET000293,MER0012,2025-04-13,2,1645.8,1621.15,VARIANCE
SET000294,MER0012,2025-04-20,1,499.61,487.69,VARIANCE
SET000295,MER0012,2025-04-27,2,369.77,364.3,VARIANCE
SET000296,MER0012,2025-05-04,2,1355.14,1354.74,MATCHED
SET000297,MER0012,2025-05-11,1,626.7,608.38,VARIANCE
SET000298,MER0012,2025-05-18,2,867.67,852.77,VARIANCE
SET000299,MER0012,2025-05-25,3,1631.21,1592.16,VARIANCE
SET000300,MER0012,2025-06-01,1,272.58,265.76,VARIANCE
SET000301,MER0012,2025-06-08,4,6794.84,6711.0,VARIANCE
SET000302,MER0012,2025-06-15,3,2455.46,2451.59,VARIANCE
SET000303,MER0012,2025-06-22,4,4017.55,3953.64,VARIANCE
SET000304,MER0012,2025-06-29,5,2596.19,2561.8,VARIANCE
SET000305,MER0013,2025-01-05,2,919.6,911.3,VARIANCE
SET000306,MER0013,2025-01-12,2,724.04,720.98,VARIANCE
SET000307,MER0013,2025-01-19,3,1482.98,1481.5,VARIANCE
SET000308,MER0013,2025-01-26,5,3119.31,3056.91,VARIANCE
SET000309,MER0013,2025-02-02,1,699.23,681.97,VARIANCE
SET000310,MER0013,2025-02-09,3,1580.83,1576.87,VARIANCE
SET000311,MER0013,2025-02-16,2,491.28,485.46,VARIANCE
SET000312,MER0013,2025-02-23,4,1816.8,1810.41,VARIANCE
SET000313,MER0013,2025-03-02,1,123.18,120.03,VARIANCE
SET000314,MER0013,2025-03-09,1,644.42,640.34,VARIANCE
SET000315,MER0013,2025-03-16,6,5991.09,5832.61,VARIANCE
SET000316,MER0013,2025-03-23,4,4807.23,4682.04,VARIANCE
SET000317,MER0013,2025-03-30,1,263.72,256.77,VARIANCE
SET000318,MER0013,2025-04-06,0,0.0,0.0,MATCHED
SET000319,MER0013,2025-04-13,3,1195.64,1174.67,VARIANCE
SET000320,MER0013,2025-04-20,4,4993.61,4942.31,VARIANCE
SET000321,MER0013,2025-04-27,1,173.33,173.01,MATCHED
SET000322,MER0013,2025-05-04,4,2316.38,2276.74,VARIANCE
SET000323,MER0013,2025-05-11,5,6029.39,5953.15,VARIANCE
SET000324,MER0013,2025-05-18,1,191.74,188.35,VARIANCE
SET000325,MER0013,2025-05-25,1,667.74,655.38,VARIANCE
SET000326,MER0013,2025-06-01,2,1335.97,1306.51,VARIANCE
SET000327,MER0013,2025-06-08,2,889.53,862.98,VARIANCE
SET000328,MER0013,2025-06-15,2,594.12,580.85,VARIANCE
SET000329,MER0013,2025-06-22,2,2343.93,2324.44,VARIANCE
SET000330,MER0013,2025-06-29,3,794.75,789.96,VARIANCE
SET000331,MER0014,2025-01-05,3,1713.79,1697.65,VARIANCE
SET000332,MER0014,2025-01-12,2,656.29,645.28,VARIANCE
SET000333,MER0014,2025-01-19,3,1115.75,1096.03,VARIANCE
SET000334,MER0014,2025-01-26,2,1971.45,1923.49,VARIANCE
SET000335,MER0014,2025-02-02,1,1606.63,1570.12,VARIANCE
SET000336,MER0014,2025-02-09,4,3537.31,3537.07,MATCHED
SET000337,MER0014,2025-02-16,2,1188.75,1174.04,VARIANCE
SET000338,MER0014,2025-02-23,5,1857.33,1824.12,VARIANCE
SET000339,MER0014,2025-03-02,1,347.66,342.81,VARIANCE
SET000340,MER0014,2025-03-09,5,5553.67,5469.13,VARIANCE
SET000341,MER0014,2025-03-16,0,0.0,0.0,MATCHED
SET000342,MER0014,2025-03-23,7,6490.77,6377.41,VARIANCE
SET000343,MER0014,2025-03-30,3,2527.91,2484.71,VARIANCE
SET000344,MER0014,2025-04-06,4,4527.58,4513.78,VARIANCE
SET000345,MER0014,2025-04-13,1,1129.91,1126.21,VARIANCE
SET000346,MER0014,2025-04-20,1,621.83,608.55,VARIANCE
SET000347,MER0014,2025-04-27,6,9255.65,9104.47,VARIANCE
SET000348,MER0014,2025-05-04,0,0.0,0.0,MATCHED
SET000349,MER0014,2025-05-11,4,2902.52,2898.41,VARIANCE
SET000350,MER0014,2025-05-18,3,1438.4,1401.12,VARIANCE
SET000351,MER0014,2025-05-25,4,4258.79,4192.54,VARIANCE
SET000352,MER0014,2025-06-01,1,365.55,354.72,VARIANCE
SET000353,MER0014,2025-06-08,3,804.29,791.28,VARIANCE
SET000354,MER0014,2025-06-15,4,7664.56,7540.38,VARIANCE
SET000355,MER0014,2025-06-22,2,1370.04,1329.53,VARIANCE
SET000356,MER0014,2025-06-29,1,164.24,160.06,VARIANCE
SET000357,MER0015,2025-01-05,3,3059.9,3013.99,VARIANCE
SET000358,MER0015,2025-01-12,1,1184.57,1165.87,VARIANCE
SET000359,MER0015,2025-01-19,1,79.29,77.63,VARIANCE
SET000360,MER0015,2025-01-26,0,0.0,0.0,MATCHED
SET000361,MER0015,2025-02-02,2,553.25,542.03,VARIANCE
SET000362,MER0015,2025-02-09,2,1478.19,1449.26,VARIANCE
SET000363,MER0015,2025-02-16,1,746.11,726.05,VARIANCE
SET000364,MER0015,2025-02-23,1,16.0,15.81,MATCHED
SET000365,MER0015,2025-03-02,1,203.17,198.42,VARIANCE
SET000366,MER0015,2025-03-09,3,314.06,309.65,VARIANCE
SET000367,MER0015,2025-03-16,6,7147.96,7085.73,VARIANCE
SET000368,MER0015,2025-03-23,1,279.33,271.07,VARIANCE
SET000369,MER0015,2025-03-30,4,1617.69,1593.32,VARIANCE
SET000370,MER0015,2025-04-06,1,1092.59,1080.7,VARIANCE
SET000371,MER0015,2025-04-13,4,1212.96,1209.11,VARIANCE
SET000372,MER0015,2025-04-20,3,1681.7,1666.08,VARIANCE
SET000373,MER0015,2025-04-27,1,142.64,141.95,MATCHED
SET000374,MER0015,2025-05-04,1,933.43,923.98,VARIANCE
SET000375,MER0015,2025-05-11,0,0.0,0.0,MATCHED
SET000376,MER0015,2025-05-18,2,1191.87,1185.2,VARIANCE
SET000377,MER0015,2025-05-25,5,6109.93,6065.18,VARIANCE
SET000378,MER0015,2025-06-01,2,5176.04,5096.35,VARIANCE
SET000379,MER0015,2025-06-08,4,4532.43,4522.28,VARIANCE
SET000380,MER0015,2025-06-15,4,3245.22,3152.61,VARIANCE
SET000381,MER0015,2025-06-22,0,0.0,0.0,MATCHED
SET000382,MER0015,2025-06-29,1,236.3,231.74,VARIANCE
SET000383,MER0016,2025-01-05,2,1398.24,1379.04,VARIANCE
SET000384,MER0016,2025-01-12,1,136.4,135.57,MATCHED
SET000385,MER0016,2025-01-19,5,3329.68,3246.49,VARIANCE
SET000386,MER0016,2025-01-26,3,5797.77,5710.11,VARIANCE
SET000387,MER0016,2025-02-02,5,3965.73,3848.56,VARIANCE
SET000388,MER0016,2025-02-09,0,0.0,0.0,MATCHED
SET000389,MER0016,2025-02-16,3,2362.82,2359.7,VARIANCE
SET000390,MER0016,2025-02-23,3,2840.62,2774.11,VARIANCE
SET000391,MER0016,2025-03-02,3,3512.15,3451.75,VARIANCE
SET000392,MER0016,2025-03-09,1,349.69,340.46,VARIANCE
SET000393,MER0016,2025-03-16,3,2172.6,2168.17,VARIANCE
SET000394,MER0016,2025-03-23,2,4302.82,4239.16,VARIANCE
SET000395,MER0016,2025-03-30,2,1408.11,1401.99,VARIANCE
